"How do you classify your diet?","Which one do you prefer?","Intention to buy [1A]","Intention to buy [1B]","Which one do you prefer?","Intention to buy [2A]","Intention to buy [2B]","Intention to buy [2C]","Which one do you prefer?","Intention to buy [3A]","Intention to buy [3B]","Intention to buy [3C]"
"Vegetarian","1A","Probably would buy","Probably would buy","2A","Certainly would buy","Certainly would buy",,"3B","Probably would buy","Probably would buy","Probably would buy"
"Vegetarian","1B","Probably would not buy","Probably would buy","2C","Probably would buy","Probably would buy","Certainly would buy","3C","Probably would buy","Probably would buy","Certainly would buy"
"Omnivore or other","1A","Probably would buy","Probably would buy","2A","Probably would buy","Probably would not buy","Probably would not buy","3A","Probably would buy","Probably would buy","Maybe would buy"
"Omnivore or other","1B","Maybe would buy","Maybe would buy","2C","Probably would not buy","Maybe would buy","Maybe would buy","3C","Maybe would buy","Maybe would buy","Maybe would buy"
"Omnivore or other","1A","Probably would buy","Probably would not buy","2C","Probably would not buy","Probably would not buy","Maybe would buy","3A","Certainly would buy","Certainly would buy","Certainly would buy"
"Omnivore or other","1A","Probably would buy","Maybe would buy","2C","Probably would not buy","Probably would not buy","Maybe would buy","3C","Probably would not buy","Probably would not buy","Maybe would buy"
"Omnivore or other","1B","Certainly would not buy","Probably would not buy","2C","Maybe would buy","Probably would not buy","Probably would buy","3C","Certainly would not buy","Certainly would not buy","Maybe would buy"
"Omnivore or other","1B","Probably would not buy","Maybe would buy","2B","Certainly would not buy","Maybe would buy","Maybe would buy","3C","Probably would not buy","Probably would not buy","Maybe would buy"
"Omnivore or other","1A","Probably would buy","Maybe would buy","2B","Probably would not buy","Maybe would buy","Maybe would buy","3C","Probably would not buy","Probably would not buy","Maybe would buy"
"Vegetarian","1A","Certainly would buy","Certainly would buy","2A","Probably would buy","Probably would buy","Maybe would buy","3B","Probably would buy","Probably would buy","Probably would buy"
"Omnivore or other","1A","Certainly would buy","Maybe would buy","2A","Probably would not buy","Certainly would not buy","Certainly would not buy","3B","Probably would buy","Certainly would buy","Maybe would buy"
"Omnivore or other","1A","Probably would buy","Certainly would not buy","2A","Maybe would buy","Probably would not buy","Probably would not buy","3C","Probably would buy","Maybe would buy","Probably would buy"
"Omnivore or other","1B","Certainly would buy","Certainly would buy","2C","Probably would buy","Maybe would buy","Certainly would buy","3B","Certainly would buy","Certainly would buy","Maybe would buy"
"Omnivore or other","1A","Probably would buy","Probably would buy","2C","Maybe would buy","Maybe would buy","Maybe would buy","3C","Maybe would buy","Probably would buy","Probably would buy"
"Omnivore or other","1A","Probably would buy","Probably would buy","2A","Probably would buy","Probably would buy","Probably would buy","3C","Maybe would buy","Maybe would buy","Maybe would buy"
"Omnivore or other","1A","Probably would buy","Maybe would buy","2C","Maybe would buy","Maybe would buy","Probably would buy","3C","Probably would not buy","Probably would not buy","Maybe would buy"
"Omnivore or other","1A","Probably would buy","Probably would buy","2A","Probably would buy","Probably would buy","Probably would buy","3C","Maybe would buy","Maybe would buy","Maybe would buy"
"Omnivore or other","1A","Certainly would buy","Probably would buy","2A","Certainly would buy","Certainly would buy","Certainly would buy","3B","Maybe would buy","Probably would buy","Probably would buy"
"Omnivore or other","1A","Certainly would buy","Probably would not buy","2A","Probably would buy","Probably would buy","Maybe would buy","3C","Probably would not buy","Probably would not buy","Certainly would buy"
"Omnivore or other","1A","Probably would buy","Maybe would buy","2C","Probably would not buy","Probably would not buy","Maybe would buy","3C","Certainly would not buy","Certainly would not buy","Probably would not buy"
"Omnivore or other","1B","Probably would not buy","Probably would buy","2B","Probably would not buy","Probably would buy","Probably would buy","3B","Maybe would buy","Probably would buy","Maybe would buy"
"Omnivore or other","1B","Probably would not buy","Maybe would buy","2C","Probably would not buy","Probably would not buy","Probably would not buy","3C","Maybe would buy","Probably would not buy","Maybe would buy"
"Omnivore or other","1B","Maybe would buy","Certainly would buy","2B","Probably would not buy","Probably would not buy","Maybe would buy","3B","Maybe would buy","Probably would buy","Probably would buy"
"Omnivore or other","1B","Certainly would not buy","Probably would not buy","2A","Probably would buy","Probably would buy","Probably would buy","3C","Certainly would buy","Certainly would buy","Certainly would buy"
"Omnivore or other","1A","Certainly would buy","Maybe would buy","2B","Probably would not buy","Certainly would buy","Maybe would buy","3B","Maybe would buy","Probably would buy","Maybe would buy"
"Vegetarian","1A","Certainly would buy","Maybe would buy","2A","Probably would buy","Probably would not buy","Probably would not buy","3A","Maybe would buy","Probably would not buy","Probably would not buy"
"Omnivore or other","1A","Certainly would buy","Probably would buy","2A","Maybe would buy","Maybe would buy","Probably would not buy","3A","Probably would buy","Probably would buy","Probably would not buy"
"Omnivore or other","1B","Maybe would buy","Probably would buy","2C","Probably would not buy","Probably would not buy","Probably would not buy","3C","Maybe would buy","Maybe would buy","Maybe would buy"
"Vegetarian","1B","Probably would buy","Certainly would buy","2B","Probably would buy","Certainly would buy","Maybe would buy","3B","Probably would buy","Certainly would buy","Certainly would buy"
"Omnivore or other","1B","Certainly would buy","Certainly would buy","2C","Certainly would buy","Maybe would buy","Certainly would buy","3A","Certainly would buy","Probably would buy","Probably would buy"
"Omnivore or other","1A","Certainly would buy","Probably would buy","2C","Maybe would buy","Maybe would buy","Probably would buy","3B","Probably would not buy","Maybe would buy","Maybe would buy"
"Omnivore or other","1A","Certainly would buy","Certainly would buy","2A","Probably would buy","Probably would buy","Probably would buy","3C","Certainly would buy","Probably would buy","Certainly would buy"
"Omnivore or other","1A","Probably would buy","Maybe would buy","2B","Maybe would buy","Probably would buy","Maybe would buy","3C","Maybe would buy","Maybe would buy","Probably would buy"
"Omnivore or other","1A","Maybe would buy","Certainly would not buy","2C","Certainly would not buy","Certainly would not buy","Maybe would buy","3B","Probably would not buy","Certainly would buy","Probably would buy"
"Omnivore or other","1B","Certainly would not buy","Probably would not buy","2B","Certainly would not buy","Probably would not buy","Certainly would not buy","3C","Certainly would not buy","Certainly would not buy","Probably would not buy"
"Omnivore or other","1A","Certainly would buy","Probably would not buy","2A","Maybe would buy","Probably would not buy","Probably would not buy","3C","Certainly would not buy","Certainly would not buy","Probably would not buy"
"Omnivore or other","1B","Maybe would buy","Maybe would buy","2C","Probably would not buy","Probably would not buy","Maybe would buy","3C","Probably would buy","Probably would buy","Certainly would buy"
"Omnivore or other","1A","Probably would buy","Probably would not buy","2C","Maybe would buy","Probably would not buy","Probably would buy","3C","Probably would not buy","Maybe would buy","Certainly would buy"
"Omnivore or other","1A","Certainly would buy","Probably would buy","2A","Maybe would buy","Probably would not buy","Probably would not buy","3B","Certainly would buy","Certainly would buy","Certainly would buy"
"Omnivore or other","1A","Certainly would buy","Maybe would buy","2A","Certainly would not buy",,,"3B","Maybe would buy","Maybe would buy","Certainly would not buy"
"Omnivore or other","1A","Certainly would buy","Probably would buy","2A","Maybe would buy","Probably would not buy","Probably would not buy","3B","Certainly would buy","Certainly would buy","Certainly would buy"