"Informazioni cronologiche","Define your gender","In wich range is your age?","What's your nationality?","How do you classify your diet?","Do you eat plant-based burgers?","Do you like what you see?","Sample 1A [Smell]","Sample 1A [Taste]","Sample 1A [Texture]","Sample 1B [Smell]","Sample 1B [Taste]","Sample 1B [Texture]","Which one do you prefer?","Intention to buy [1A]","Intention to buy [1B]","Do you like what you see? ","Sample 2A [Smell]","Sample 2A [Taste]","Sample 2A [Texture]","Sample 2B [Smell]","Sample 2B [Taste]","Sample 2B [Texture]","Sample 2C [Smell]","Sample 2C [Taste]","Sample 2C [Texture]","Which one do you prefer?","Intention to buy [2A]","Intention to buy [2B]","Intention to buy [2C]","Do you like what you see? ","Sample 3A [Smell]","Sample 3A [Taste]","Sample 3A [Texture]","Sample 3B [Smell]","Sample 3B [Taste]","Sample 3B [Texture]","Sample 3C [Smell]","Sample 3C [Taste]","Sample 3C [Texture]","Which one do you prefer?","Intention to buy [3A]","Intention to buy [3B]","Intention to buy [3C]","Please indicate here the code of your preferred burger","Do you have some comments/suggestions? Please feel free to write here :)
"
"2023/09/27 11:06:19 AM EEST","Female","25-35","Br","Vegetarian","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","1A","Probably would buy","Probably would buy","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Neutral","Neutral","Neutral","2A","Certainly would buy","Certainly would buy","","Yes","Very pleasant","Very pleasant","Very pleasant","Neutral","Neutral","Neutral","Very pleasant","Very pleasant","Very pleasant","3B","Probably would buy","Probably would buy","Probably would buy","H","H"
"2023/09/27 11:56:44 AM EEST","Male","25-35","Portuguese","Vegetarian","Yes","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","1B","Probably would not buy","Probably would buy","Yes","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","Very pleasant","2C","Probably would buy","Probably would buy","Certainly would buy","Yes","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","3C","Probably would buy","Probably would buy","Certainly would buy","2C","Great work! Amazing improvements."
"2023/09/27 11:57:58 AM EEST","Female","18-24","Belgian","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","1A","Probably would buy","Probably would buy","No","Neutral","Very pleasant","","Unpleasant","Neutral","Very pleasant","Unpleasant","Unpleasant","Very pleasant","2A","Probably would buy","Probably would not buy","Probably would not buy","Yes","Pleasant","Pleasant","Very pleasant","Unpleasant","Pleasant","Very pleasant","Unpleasant","","Unpleasant","3A","Probably would buy","Probably would buy","Maybe would buy","1A",""
"2023/09/27 12:12:24 PM EEST","Male","25-35","Spanish","Omnivore or other","Yes","Yes","Neutral","Pleasant","Pleasant","Neutral","","","1B","Maybe would buy","Maybe would buy","Yes","Neutral","Unpleasant","Neutral","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","2C","Probably would not buy","Maybe would buy","Maybe would buy","Yes","Pleasant","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","3C","Maybe would buy","Maybe would buy","Maybe would buy","3C",""
"2023/09/27 12:13:37 PM EEST","Male","25-35","Portuguese","Omnivore or other","No","Yes","Very pleasant","Pleasant","Very pleasant","Neutral","Pleasant","Pleasant","1A","Probably would buy","Probably would not buy","Yes","Pleasant","Unpleasant","Pleasant","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","2C","Probably would not buy","Probably would not buy","Maybe would buy","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","Very pleasant","3A","Certainly would buy","Certainly would buy","Certainly would buy","3A","Wonderful burgers, loved the curry ones"
"2023/09/27 12:14:32 PM EEST","Male","25-35","Portuguese","Omnivore or other","No","No","Neutral","Pleasant","Very pleasant","Neutral","Pleasant","Pleasant","1A","Probably would buy","Maybe would buy","No","Neutral","Unpleasant","Neutral","Pleasant","Pleasant","Neutral","Neutral","Pleasant","Pleasant","2C","Probably would not buy","Probably would not buy","Maybe would buy","No","Unpleasant","Pleasant","Neutral","Pleasant","Neutral","Pleasant","Neutral","Pleasant","Pleasant","3C","Probably would not buy","Probably would not buy","Maybe would buy","1A",""
"2023/09/27 12:15:23 PM EEST","Male","25-35","Portuguese","Omnivore or other","Yes","Neutral","Pleasant","Unpleasant","Very unpleasant","Neutral","Neutral","Very unpleasant","1B","Certainly would not buy","Probably would not buy","Neutral","Very pleasant","Neutral","Pleasant","Pleasant","Neutral","Neutral","Very pleasant","Pleasant","Pleasant","2C","Maybe would buy","Probably would not buy","Probably would buy","Neutral","Neutral","Unpleasant","Unpleasant","Neutral","Neutral","Neutral","Neutral","Pleasant","Pleasant","3C","Certainly would not buy","Certainly would not buy","Maybe would buy","2C","Some of the burgers taste is overpowered by the flour or smthng like that"
"2023/09/27 12:18:27 PM EEST","Male","25-35","Portuguese ","Omnivore or other","No","Neutral","Neutral","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","1B","Probably would not buy","Maybe would buy","No","Neutral","Unpleasant","Unpleasant","Neutral","Neutral","Unpleasant","Neutral","Neutral","Unpleasant","2B","Certainly would not buy","Maybe would buy","Maybe would buy","Yes","Pleasant","Unpleasant","Unpleasant","Pleasant","Unpleasant","Unpleasant","Pleasant","Pleasant","Neutral","3C","Probably would not buy","Probably would not buy","Maybe would buy","1B","The textura of the burguers could be improved. It is kind of weird when you are eat them. It seems the burguers sticks to the teeth."
"2023/09/27 12:29:39 PM EEST","Male","25-35","Portuguese","Omnivore or other","No","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Neutral","Pleasant","1A","Probably would buy","Maybe would buy","No","Neutral","Neutral","Neutral","Neutral","Pleasant","Neutral","Pleasant","Neutral","Neutral","2B","Probably would not buy","Maybe would buy","Maybe would buy","Yes","Unpleasant","Neutral","Pleasant","Unpleasant","Unpleasant","Neutral","Neutral","Neutral","Pleasant","3C","Probably would not buy","Probably would not buy","Maybe would buy","1A",""
"2023/09/27 12:33:53 PM EEST","Female","25-35","Brasil","Vegetarian","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Neutral","Very pleasant","Very pleasant","1A","Certainly would buy","Certainly would buy","Yes","Pleasant","Very pleasant","Very pleasant","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Neutral","2A","Probably would buy","Probably would buy","Maybe would buy","Yes","Neutral","Pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","3B","Probably would buy","Probably would buy","Probably would buy","1a","Spirulina high % very soft/gummy but the flavor are not so intense, they are very.chlorella texture not very good. "
"2023/09/27 12:42:29 PM EEST","Female","18-24","Italian","Omnivore or other","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","1A","Certainly would buy","Maybe would buy","No","Neutral","Unpleasant","Unpleasant","Neutral","Unpleasant","Very unpleasant","Neutral","Very unpleasant","Unpleasant","2A","Probably would not buy","Certainly would not buy","Certainly would not buy","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Very unpleasant","Unpleasant","Unpleasant","3B","Probably would buy","Certainly would buy","Maybe would buy","1A",""
"2023/09/27 12:44:05 PM EEST","Male","25-35","Italian ","Omnivore or other","No","Neutral","Very pleasant","Pleasant","Neutral","Neutral","Unpleasant","Neutral","1A","Probably would buy","Certainly would not buy","Neutral","Pleasant","Pleasant","Unpleasant","Neutral","Pleasant","Pleasant","Neutral","Unpleasant","Unpleasant","2A","Maybe would buy","Probably would not buy","Probably would not buy","Yes","Pleasant","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","3C","Probably would buy","Maybe would buy","Probably would buy","1a","To my mind, the taste should be done with warm sample since nobody likes a cold burger"
"2023/09/27 12:44:40 PM EEST","Male","25-35","Italian","Omnivore or other","Yes","Yes","Very pleasant","Pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","1B","Certainly would buy","Certainly would buy","Yes","Very pleasant","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","Unpleasant","Pleasant","Very pleasant","2C","Probably would buy","Maybe would buy","Certainly would buy","Yes","Very pleasant","Pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","Pleasant","Unpleasant","3B","Certainly would buy","Certainly would buy","Maybe would buy","3B","Batch 1 good
Batch number 2 has a strange smell
Batch number 3 is incredibly good, maybe adjust texture"
"2023/09/27 12:59:56 PM EEST","Female","35-64","Portuguese ","Omnivore or other","No","Neutral","Very pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","1A","Probably would buy","Probably would buy","No","Pleasant","Unpleasant","Unpleasant","Pleasant","Neutral","Neutral","Pleasant","Pleasant","Pleasant","2C","Maybe would buy","Maybe would buy","Maybe would buy","Yes","Pleasant","Pleasant","Pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","3C","Maybe would buy","Probably would buy","Probably would buy","3C",""
"2023/09/27 1:01:13 PM EEST","Female","18-24","Portuguese","Omnivore or other","No","Yes","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","1A","Probably would buy","Probably would buy","Yes","Pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","Pleasant","Neutral","Neutral","Pleasant","2A","Probably would buy","Probably would buy","Probably would buy","Yes","Neutral","Neutral","Neutral","Pleasant","Neutral","Neutral","Pleasant","Pleasant","Pleasant","3C","Maybe would buy","Maybe would buy","Maybe would buy","Sample 2-A","Very nice burgers! Getting better each time "
"2023/09/27 1:05:52 PM EEST","Female","25-35","Portuguese","Omnivore or other","No","Neutral","Very pleasant","Pleasant","Neutral","Neutral","Pleasant","Unpleasant","1A","Probably would buy","Maybe would buy","No","Neutral","Neutral","Neutral","Neutral","Pleasant","Neutral","Pleasant","Pleasant","Pleasant","2C","Maybe would buy","Maybe would buy","Probably would buy","Neutral","Unpleasant","Unpleasant","Neutral","Unpleasant","Very unpleasant","Neutral","Very unpleasant","Neutral","Neutral","3C","Probably would not buy","Probably would not buy","Maybe would buy","2C",""
"2023/09/27 1:07:57 PM EEST","Female","18-24","Portuguese","Omnivore or other","No","Yes","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","1A","Probably would buy","Probably would buy","Yes","Pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","2A","Probably would buy","Probably would buy","Probably would buy","Yes","Neutral","Neutral","Pleasant","Neutral","Neutral","Pleasant","Neutral","Pleasant","Pleasant","3C","Maybe would buy","Maybe would buy","Maybe would buy","Sample 2A","Very nice burgers! Getting better every time!"
"2023/09/27 1:09:56 PM EEST","Female","18-24","Portuguese ","Omnivore or other","No","Yes","Very pleasant","Very pleasant","Very pleasant","Neutral","Pleasant","Pleasant","1A","Certainly would buy","Probably would buy","Yes","Very pleasant","Very pleasant","Very pleasant","Neutral","Very pleasant","Very pleasant","Neutral","Very pleasant","Very pleasant","2A","Certainly would buy","Certainly would buy","Certainly would buy","Yes","Unpleasant","Neutral","Unpleasant","Neutral","Very pleasant","Very pleasant","Neutral","Very pleasant","Very pleasant","3B","Maybe would buy","Probably would buy","Probably would buy","1A","I think if sample 3A was more ""crunchy"", it would taste better. Sample 3 are my least favorite from all, I think the reason is because samples 1 and 2 have a similar taste / not so different taste to meat burguers, so for people that are used to eat these kind of burguers it's easier to buy them. On the contrary, sample 3 tastes more like ""vegan"" burguers, and probably omnivore people wouldn't buy it that easily. But congrats, everything's really good! :) "
"2023/09/27 1:14:13 PM EEST","Male","25-35","Brazilian ","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Neutral","1A","Certainly would buy","Probably would not buy","Neutral","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","Pleasant","2A","Probably would buy","Probably would buy","Maybe would buy","Yes","Neutral","Pleasant","Neutral","Pleasant","Pleasant","Unpleasant","Very pleasant","Very pleasant","Neutral","3C","Probably would not buy","Probably would not buy","Certainly would buy","1A 3C can't choose one","The texture of the 3 were too soft maybe If It was harder would bê my choice"
"2023/09/27 1:15:38 PM EEST","Male","18-24","Italian","Omnivore or other","No","Neutral","Very pleasant","Pleasant","Neutral","Neutral","Neutral","Pleasant","1A","Probably would buy","Maybe would buy","No","Neutral","Neutral","Pleasant","Neutral","Neutral","Pleasant","Neutral","Pleasant","Pleasant","2C","Probably would not buy","Probably would not buy","Maybe would buy","Yes","Pleasant","Neutral","Neutral","Neutral","Unpleasant","Neutral","Pleasant","Neutral","Neutral","3C","Certainly would not buy","Certainly would not buy","Probably would not buy","1A",""
"2023/09/27 1:20:18 PM EEST","Female","25-35","Portuguese ","Omnivore or other","No","Yes","Neutral","Pleasant","Very pleasant","Neutral","Very pleasant","Very pleasant","1B","Probably would not buy","Probably would buy","Neutral","Neutral","Neutral","Neutral","Neutral","Pleasant","Very pleasant","Neutral","Pleasant","Very pleasant","2B","Probably would not buy","Probably would buy","Probably would buy","Yes","Neutral","Very pleasant","Pleasant","Neutral","Pleasant","Neutral","Neutral","Pleasant","Neutral","3B","Maybe would buy","Probably would buy","Maybe would buy","2B",""
"2023/09/27 1:25:10 PM EEST","Female","25-35","Brazilian","Omnivore or other","Yes","Neutral","Very pleasant","Unpleasant","Neutral","Unpleasant","Pleasant","Pleasant","1B","Probably would not buy","Maybe would buy","Yes","Neutral","Neutral","Neutral","Pleasant","Pleasant","Neutral","Unpleasant","Pleasant","Pleasant","2C","Probably would not buy","Probably would not buy","Probably would not buy","No","Neutral","Pleasant","Pleasant","Neutral","Neutral","Neutral","Neutral","Very pleasant","Pleasant","3C","Maybe would buy","Probably would not buy","Maybe would buy","1B",""
"2023/09/27 1:29:05 PM EEST","Female","25-35","Portuguese","Omnivore or other","No","Yes","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","Very pleasant","1B","Maybe would buy","Certainly would buy","Neutral","Neutral","Unpleasant","Pleasant","Unpleasant","Neutral","Pleasant","Very unpleasant","Pleasant","Pleasant","2B","Probably would not buy","Probably would not buy","Maybe would buy","Yes","Very pleasant","Pleasant","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","3B","Maybe would buy","Probably would buy","Probably would buy","1B",""
"2023/09/27 1:31:20 PM EEST","Male","25-35","Indian","Omnivore or other","No","Yes","Very pleasant","Neutral","Very pleasant","Very pleasant","Neutral","Very pleasant","1B","Certainly would not buy","Probably would not buy","Neutral","Very pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Neutral","Pleasant","Very pleasant","Neutral","2A","Probably would buy","Probably would buy","Probably would buy","Yes","Very pleasant","Pleasant","Unpleasant","Very pleasant","Very pleasant","Neutral","Pleasant","Very pleasant","Pleasant","3C","Certainly would buy","Certainly would buy","Certainly would buy","3C","Thank you for the burgers. I really appreciate your research efforts Many congratulations to Martina and the team at the Green CoLab. I would love to see the results of this survey in the future, if possible."
"2023/09/27 1:36:17 PM EEST","Female","25-35","Portuguesa","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","1A","Certainly would buy","Maybe would buy","Yes","Unpleasant","Unpleasant","Neutral","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","2B","Probably would not buy","Certainly would buy","Maybe would buy","Yes","Neutral","Pleasant","Very pleasant","Neutral","Pleasant","Very pleasant","Neutral","Pleasant","Pleasant","3B","Maybe would buy","Probably would buy","Maybe would buy","1A","Veeery good burgers! Amazing improvement, nice job :)"
"2023/09/27 1:45:47 PM EEST","Female","35-64","Portuguese ","Vegetarian","Yes","Yes","Very unpleasant","Pleasant","Pleasant","Neutral","Neutral","Neutral","1A","Certainly would buy","Maybe would buy","Yes","Neutral","Unpleasant","Unpleasant","Unpleasant","Unpleasant","Very unpleasant","Unpleasant","Unpleasant","Unpleasant","2A","Probably would buy","Probably would not buy","Probably would not buy","Yes","Neutral","Pleasant","Pleasant","Neutral","Unpleasant","Neutral","Neutral","Neutral","Neutral","3A","Maybe would buy","Probably would not buy","Probably would not buy","1 A ","Congrats! Great work! "
"2023/09/27 1:46:29 PM EEST","Female","35-64","Pt","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","1A","Certainly would buy","Probably would buy","Yes","Very pleasant","Neutral","Pleasant","Very pleasant","Pleasant","Pleasant","Pleasant","Unpleasant","Pleasant","2A","Maybe would buy","Maybe would buy","Probably would not buy","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","Pleasant","Unpleasant","Very pleasant","3A","Probably would buy","Probably would buy","Probably would not buy","1a",""
"2023/09/27 1:48:02 PM EEST","Female","25-35","Portuguese","Omnivore or other","No","Yes","Pleasant","Pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","1B","Maybe would buy","Probably would buy","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Pleasant","Pleasant","Neutral","Neutral","2C","Probably would not buy","Probably would not buy","Probably would not buy","Yes","Pleasant","Neutral","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","3C","Maybe would buy","Maybe would buy","Maybe would buy","1B","Cada vez melhores 🥰🥰🥰🥰🥰"
"2023/09/27 1:52:29 PM EEST","Female","25-35","Portuguese","Vegetarian","Yes","Yes","Pleasant","Pleasant","Neutral","Very pleasant","Pleasant","Neutral","1B","Probably would buy","Certainly would buy","Neutral","Pleasant","Pleasant","Neutral","Very pleasant","Very pleasant","Neutral","Pleasant","Pleasant","Unpleasant","2B","Probably would buy","Certainly would buy","Maybe would buy","Yes","Neutral","Pleasant","Neutral","Very pleasant","Very pleasant","Neutral","Very pleasant","Pleasant","Neutral","3B","Probably would buy","Certainly would buy","Certainly would buy","3B",""
"2023/09/27 1:53:59 PM EEST","Female","25-35","French","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","1B","Certainly would buy","Certainly would buy","Neutral","Very pleasant","Neutral","Neutral","Very pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","2C","Certainly would buy","Maybe would buy","Certainly would buy","Yes","Very pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Very pleasant","3A","Certainly would buy","Probably would buy","Probably would buy","1A","Great work on textures and Spices. Liked the smell ans Flavour of the green burgers (2) more than I was expecting. Would definitely buy! Nice work 👍 congrats "
"2023/09/27 1:56:41 PM EEST","Male","35-64","Portuguese","Omnivore or other","No","Neutral","Pleasant","Very pleasant","Pleasant","Neutral","Neutral","Pleasant","1A","Certainly would buy","Probably would buy","Neutral","Neutral","Neutral","Unpleasant","Neutral","Pleasant","Neutral","Neutral","Pleasant","Neutral","2C","Maybe would buy","Maybe would buy","Probably would buy","Neutral","Neutral","Unpleasant","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3B","Probably would not buy","Maybe would buy","Maybe would buy","1 A",""
"2023/09/27 2:00:57 PM EEST","Male","25-35","Portuguese ","Omnivore or other","Yes","Neutral","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","1A","Certainly would buy","Certainly would buy","Yes","Very pleasant","Pleasant","Neutral","Pleasant","Pleasant","Neutral","Very pleasant","Pleasant","Neutral","2A","Probably would buy","Probably would buy","Probably would buy","Yes","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","Neutral","Pleasant","Very pleasant","Neutral","3C","Certainly would buy","Probably would buy","Certainly would buy","1A ","Very nice work! Maybe a different colour in sample 1 if possible.
Number 3 would toast it a bit better or add more oil to it in order to keep it less dry. "
"2023/09/27 2:02:49 PM EEST","Male","25-35","Tanzanian ","Omnivore or other","Yes","Yes","Very pleasant","Pleasant","Neutral","Neutral","Pleasant","Pleasant","1A","Probably would buy","Maybe would buy","Yes","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Neutral","Neutral","Pleasant","2B","Maybe would buy","Probably would buy","Maybe would buy","Yes","Neutral","Very pleasant","Pleasant","Neutral","Very pleasant","Very pleasant","Neutral","Very pleasant","Very pleasant","3C","Maybe would buy","Maybe would buy","Probably would buy","3C","I like the taste and texture of most of them. though most of them they had neutral smell except the 1A. "
"2023/09/27 2:12:35 PM EEST","Female","25-35","Mexican ","Omnivore or other","No","Neutral","Very pleasant","Neutral","Unpleasant","Neutral","Unpleasant","Unpleasant","1A","Maybe would buy","Certainly would not buy","No","Unpleasant","Unpleasant","Pleasant","Neutral","Unpleasant","Neutral","Pleasant","Pleasant","Neutral","2C","Certainly would not buy","Certainly would not buy","Maybe would buy","Yes","Neutral","Pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","3B","Probably would not buy","Certainly would buy","Probably would buy","3B","I really like the last three and would buy them for dinner"
"2023/09/27 2:13:11 PM EEST","Female","25-35","Brazilian","Omnivore or other","No","Neutral","Neutral","Unpleasant","Neutral","Neutral","Unpleasant","Neutral","1B","Certainly would not buy","Probably would not buy","No","Unpleasant","Neutral","Pleasant","Pleasant","Pleasant","Very pleasant","Unpleasant","Unpleasant","Neutral","2B","Certainly would not buy","Probably would not buy","Certainly would not buy","Neutral","Unpleasant","Unpleasant","Very unpleasant","Unpleasant","Neutral","Very unpleasant","Neutral","Neutral","Unpleasant","3C","Certainly would not buy","Certainly would not buy","Probably would not buy","2B","Good tasting section!"
"2023/09/27 2:13:32 PM EEST","Female","35-64","Portuguesa","Omnivore or other","No","Yes","Very pleasant","Very pleasant","Very pleasant","Neutral","Unpleasant","Pleasant","1A","Certainly would buy","Probably would not buy","Yes","Very pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","2A","Maybe would buy","Probably would not buy","Probably would not buy","Neutral","Neutral","Unpleasant","Neutral","Neutral","Unpleasant","Unpleasant","Neutral","Pleasant","Unpleasant","3C","Certainly would not buy","Certainly would not buy","Probably would not buy","1A","Burguers should be crunchy and with consistent texture. Smell and taste are the most important aspects."
"2023/09/27 2:14:36 PM EEST","Female","25-35","Portuguese","Omnivore or other","Yes","Neutral","Pleasant","Neutral","Neutral","Pleasant","Pleasant","Pleasant","1B","Maybe would buy","Maybe would buy","No","Unpleasant","Unpleasant","Pleasant","Unpleasant","Very unpleasant","Neutral","Neutral","Pleasant","Pleasant","2C","Probably would not buy","Probably would not buy","Maybe would buy","Yes","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","Very pleasant","3C","Probably would buy","Probably would buy","Certainly would buy","3c",""
"2023/09/27 2:16:57 PM EEST","Female","25-35","Portuguese","Omnivore or other","No","Yes","Pleasant","Pleasant","Neutral","Neutral","Unpleasant","Pleasant","1A","Probably would buy","Probably would not buy","No","Pleasant","Neutral","","Neutral","Unpleasant","Pleasant","Unpleasant","Pleasant","Neutral","2C","Maybe would buy","Probably would not buy","Probably would buy","Yes","Very unpleasant","Unpleasant","Neutral","Unpleasant","Neutral","Pleasant","Neutral","Very pleasant","Very pleasant","3C","Probably would not buy","Maybe would buy","Certainly would buy","3c",""
"2023/09/27 2:20:27 PM EEST","Female","35-64","Portuguesa","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","1A","Certainly would buy","Probably would buy","Neutral","Pleasant","Neutral","Pleasant","Pleasant","Unpleasant","Pleasant","Pleasant","Unpleasant","Neutral","2A","Maybe would buy","Probably would not buy","Probably would not buy","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","3B","Certainly would buy","Certainly would buy","Certainly would buy","All of 3",""
"2023/09/27 2:28:35 PM EEST","Female","25-35","Italy","Omnivore or other","Yes","Neutral","Very pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","Pleasant","1A","Certainly would buy","Maybe would buy","Yes","Pleasant","Unpleasant","Unpleasant","Pleasant","Unpleasant","Unpleasant","Unpleasant","Very unpleasant","Unpleasant","2A","Certainly would not buy","","","Yes","Pleasant","Very pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Very unpleasant","3B","Maybe would buy","Maybe would buy","Certainly would not buy","1A",""
"2023/09/28 2:36:16 PM EEST","Female","35-64","Portuguesa","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","1A","Certainly would buy","Probably would buy","Neutral","Pleasant","Neutral","Pleasant","Pleasant","Unpleasant","Pleasant","Pleasant","Unpleasant","Neutral","2A","Maybe would buy","Probably would not buy","Probably would not buy","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","3B","Certainly would buy","Certainly would buy","Certainly would buy","All of 3",""